date,lat,lon,accumswe_daily
1980-04-09T12:00:00Z,44.59644457,-110.5471962,428.2
1980-04-10T12:00:00Z,44.59644457,-110.5471962,428.7
1980-04-11T12:00:00Z,44.59644457,-110.5471962,429.3
1980-04-12T12:00:00Z,44.59644457,-110.5471962,429.3
1980-04-13T12:00:00Z,44.59644457,-110.5471962,429.3
1980-04-14T12:00:00Z,44.59644457,-110.5471962,429.3
1980-04-15T12:00:00Z,44.59644457,-110.5471962,425.5
1980-04-16T12:00:00Z,44.59644457,-110.5471962,425.5
1980-04-17T12:00:00Z,44.59644457,-110.5471962,423.6
1980-04-18T12:00:00Z,44.59644457,-110.5471962,406.4
1980-04-19T12:00:00Z,44.59644457,-110.5471962,389.4
1980-04-20T12:00:00Z,44.59644457,-110.5471962,365.8
1980-04-21T12:00:00Z,44.59644457,-110.5471962,339.8
1980-04-22T12:00:00Z,44.59644457,-110.5471962,314.6
1980-04-23T12:00:00Z,44.59644457,-110.5471962,297.1
1980-04-24T12:00:00Z,44.59644457,-110.5471962,285.3
1980-04-25T12:00:00Z,44.59644457,-110.5471962,266.7
1980-04-26T12:00:00Z,44.59644457,-110.5471962,255.7
1980-04-27T12:00:00Z,44.59644457,-110.5471962,242.5
1980-04-28T12:00:00Z,44.59644457,-110.5471962,226.8
1980-04-29T12:00:00Z,44.59644457,-110.5471962,203
1980-04-30T12:00:00Z,44.59644457,-110.5471962,180.8
1980-05-01T12:00:00Z,44.59644457,-110.5471962,169.6
1980-05-02T12:00:00Z,44.59644457,-110.5471962,157.5
1980-05-03T12:00:00Z,44.59644457,-110.5471962,143.5
1980-05-04T12:00:00Z,44.59644457,-110.5471962,125.7
1980-05-05T12:00:00Z,44.59644457,-110.5471962,107.7
1980-05-06T12:00:00Z,44.59644457,-110.5471962,89.5
1980-05-07T12:00:00Z,44.59644457,-110.5471962,69.4
1980-05-08T12:00:00Z,44.59644457,-110.5471962,51.2
1980-05-09T12:00:00Z,44.59644457,-110.5471962,32.8
1980-05-10T12:00:00Z,44.59644457,-110.5471962,19.3
1980-05-11T12:00:00Z,44.59644457,-110.5471962,9
1980-05-12T12:00:00Z,44.59644457,-110.5471962,0.2
1980-05-13T12:00:00Z,44.59644457,-110.5471962,0.1
1980-05-14T12:00:00Z,44.59644457,-110.5471962,0.2
1980-05-15T12:00:00Z,44.59644457,-110.5471962,0.1
1980-05-16T12:00:00Z,44.59644457,-110.5471962,1.1
1980-05-17T12:00:00Z,44.59644457,-110.5471962,0
1980-05-18T12:00:00Z,44.59644457,-110.5471962,0
1980-05-19T12:00:00Z,44.59644457,-110.5471962,0
1980-05-20T12:00:00Z,44.59644457,-110.5471962,0
1980-05-21T12:00:00Z,44.59644457,-110.5471962,0
1980-05-22T12:00:00Z,44.59644457,-110.5471962,0
1980-05-23T12:00:00Z,44.59644457,-110.5471962,0
1980-05-24T12:00:00Z,44.59644457,-110.5471962,0
1980-05-25T12:00:00Z,44.59644457,-110.5471962,14
1980-05-26T12:00:00Z,44.59644457,-110.5471962,17.7
1980-05-27T12:00:00Z,44.59644457,-110.5471962,13.6
1980-05-28T12:00:00Z,44.59644457,-110.5471962,0.2
1980-05-29T12:00:00Z,44.59644457,-110.5471962,0.1
1980-05-30T12:00:00Z,44.59644457,-110.5471962,0.9
1980-05-31T12:00:00Z,44.59644457,-110.5471962,1
1980-06-01T12:00:00Z,44.59644457,-110.5471962,0.8
1980-06-02T12:00:00Z,44.59644457,-110.5471962,1.3
1980-06-03T12:00:00Z,44.59644457,-110.5471962,1.2
1980-06-04T12:00:00Z,44.59644457,-110.5471962,0
1980-06-05T12:00:00Z,44.59644457,-110.5471962,0
1980-06-06T12:00:00Z,44.59644457,-110.5471962,0.6
1980-06-07T12:00:00Z,44.59644457,-110.5471962,0.7
1980-06-08T12:00:00Z,44.59644457,-110.5471962,0
1980-06-09T12:00:00Z,44.59644457,-110.5471962,0
1980-06-10T12:00:00Z,44.59644457,-110.5471962,0
1980-06-11T12:00:00Z,44.59644457,-110.5471962,0
1980-06-12T12:00:00Z,44.59644457,-110.5471962,0
1980-06-13T12:00:00Z,44.59644457,-110.5471962,0
1980-06-14T12:00:00Z,44.59644457,-110.5471962,0
1980-06-15T12:00:00Z,44.59644457,-110.5471962,0.6
1980-06-16T12:00:00Z,44.59644457,-110.5471962,0
