year,month,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980,1,31.942809,-113.020708,37.207340240478516,26.349323272705078,32.43899917602539,0,49.004364013671875,39.34971618652344,9.654650688171387
1980,2,31.942809,-113.020708,34.72445297241211,17.462535858154297,28.506999969482422,0,63.89125061035156,50.949275970458984,12.94197940826416
1980,3,31.942809,-113.020708,31.42653465270996,0,13.76200008392334,0,82.60364532470703,65.6117172241211,16.991926193237305
1980,4,31.942809,-113.020708,20.815265655517578,0,7.863999843597412,0,114.79336547851563,96.066558837890625,18.7268123626709
1980,5,31.942809,-113.020708,10.790682792663574,0,0,0,139.14849853515625,125.76054382324219,13.387957572937012
1980,6,31.942809,-113.020708,2.935415029525757,0,0,0,178.144287109375,173.68914794921875,4.455161094665527
1980,7,31.942809,-113.020708,2.1634912490844727,0,8.8470001220703125,0,202.3914337158203,198.48497009277344,3.906456470489502
1980,8,31.942809,-113.020708,2.8826611042022705,0,0,0,179.37228393554687,174.37570190429687,4.99660062789917
1980,9,31.942809,-113.020708,21.484811782836914,0,35.38800048828125,0,139.5658721923828,116.36388397216797,23.201963424682617
1980,10,31.942809,-113.020708,7.863241195678711,0,0,0,99.689453125,91.32917785644531,8.360281944274902
1980,11,31.942809,-113.020708,3.542264699935913,0,0,0,61.056861877441406,58.70336151123047,2.353497266769409
1980,12,31.942809,-113.020708,2.0369691848754883,0,0,0,48.39860916137695,47.315128326416016,1.0834870338439941
1981,1,31.942809,-113.020708,17.118019104003906,0,27.523998260498047,0,51.87541961669922,44.76473617553711,7.110683441162109
1981,2,31.942809,-113.020708,18.397663116455078,0,2.9489998817443848,0,61.01136779785156,49.637184143066406,11.374185562133789
1981,3,31.942809,-113.020708,25.266630172729492,0,21.625999450683594,0,85.4124984741211,68.01405334472656,17.398447036743164
1981,4,31.942809,-113.020708,10.8324556350708,0,0,0,120.98786163330078,109.00611877441406,11.981761932373047
1981,5,31.942809,-113.020708,3.1795339584350586,0,0,0,149.81732177734375,145.59519958496094,4.2220845222473145
1981,6,31.942809,-113.020708,0.775005042552948,0,0,0,185.74728393554687,184.49827575683594,1.249041199684143
1981,7,31.942809,-113.020708,4.877172470092773,0,13.761999130249023,0,199.02947998046875,190.48486328125,8.544620513916016
1981,8,31.942809,-113.020708,6.125746250152588,0,9.829999923706055,0,185.5090789794922,174.74566650390625,10.763458251953125
1981,9,31.942809,-113.020708,6.446972846984863,0,8.8470001220703125,0,143.08807373046875,133.23434448242187,9.8537445068359375
1981,10,31.942809,-113.020708,9.617534637451172,0,11.795999526977539,0,92.51307678222656,83.30770111083984,9.205367088317871
1981,11,31.942809,-113.020708,6.728607654571533,0,26.540998458862305,0,62.496665954589844,58.730796813964844,3.7658681869506836
1981,12,31.942809,-113.020708,23.559011459350586,0,0,0,47.59659194946289,37.60982894897461,9.986766815185547
1982,1,31.942809,-113.020708,21.490371704101563,0,14.744999885559082,0,44.193199157714844,35.72079086303711,8.472410202026367
1982,2,31.942809,-113.020708,21.087692260742188,0,8.8470001220703125,0,59.85191345214844,48.04387664794922,11.808042526245117
1982,3,31.942809,-113.020708,28.499441146850586,5.629578590393066,32.43899917602539,0,85.51163482666016,68.12409210205078,17.387540817260742
1982,4,31.942809,-113.020708,21.77139663696289,0,0,0,117.77922058105469,98.53076171875,19.24846076965332
1982,5,31.942809,-113.020708,6.827828884124756,0,0,0,150.32249450683594,141.21517944335937,9.107311248779297
1982,6,31.942809,-113.020708,1.7732315063476562,0,0,0,165.5538330078125,163.00994873046875,2.543910503387451
1982,7,31.942809,-113.020708,11.488533973693848,0,24.575000762939453,0,191.83270263671875,172.9801483154297,18.852550506591797
1982,8,31.942809,-113.020708,20.46198081970215,0,45.21799850463867,0,181.51332092285156,157.76844787597656,23.744888305664063
1982,9,31.942809,-113.020708,31.182416915893555,20.693246841430664,43.25200271606445,0,137.18814086914062,110.7089614868164,26.47919273376465
1982,10,31.942809,-113.020708,15.717962265014648,0,0,0,91.65003967285156,77.63166809082031,14.018396377563477
1982,11,31.942809,-113.020708,9.846419334411621,0,5.8979997634887695,0,55.92281723022461,50.177921295166016,5.74489688873291
1982,12,31.942809,-113.020708,31.880754470825195,30.18193817138672,62.9119987487793,0,40.6066780090332,32.3016242980957,8.305054664611816
1983,1,31.942809,-113.020708,33.4345817565918,8.268342971801758,20.64299964904785,0,47.21408462524414,37.92253494262695,9.291540145874023
1983,2,31.942809,-113.020708,34.197025299072266,44.18476486206055,46.20099639892578,0,55.49615478515625,44.23415756225586,11.261996269226074
1983,3,31.942809,-113.020708,32.97813034057617,18.855112075805664,36.371002197265625,0,83.904449462890625,66.61375427246094,17.290674209594727
1983,4,31.942809,-113.020708,22.250072479248047,0,3.931999921798706,0,102.64234924316406,85.05815887451172,17.584163665771484
1983,5,31.942809,-113.020708,8.584827423095703,0,0,0,151.405029296875,140.37130737304687,11.033719062805176
1983,6,31.942809,-113.020708,2.107921838760376,0,0,0,168.43075561523438,165.35528564453125,3.075438976287842
1983,7,31.942809,-113.020708,0.4415161907672882,0,0,0,195.9110870361328,195.14398193359375,0.7670906782150269
1983,8,31.942809,-113.020708,22.106689453125,20.569263458251953,67.826995849609375,0,173.2733154296875,150.35134887695312,22.921985626220703
1983,9,31.942809,-113.020708,13.871838569641113,0,24.57499885559082,0,144.4848175048828,124.8513412475586,19.633468627929688
1983,10,31.942809,-113.020708,30.073389053344727,44.63539123535156,55.04800033569336,0,96.59260559082031,78.48149108886719,18.111114501953125
1983,11,31.942809,-113.020708,21.517311096191406,0,17.694000244140625,0,57.514137268066406,46.9515495300293,10.562586784362793
1983,12,31.942809,-113.020708,34.147796630859375,35.16121292114258,46.20100021362305,0,46.08206558227539,36.42094421386719,9.66111946105957
1984,1,31.942809,-113.020708,34.66225814819336,8.10616397857666,18.677000045776367,0,47.94476318359375,38.484397888183594,9.460370063781738
1984,2,31.942809,-113.020708,25.305910110473633,0,0,0,57.55209732055664,45.86956024169922,11.682546615600586
1984,3,31.942809,-113.020708,12.466994285583496,0,0,0,92.31458282470703,79.87531280517578,12.439265251159668
1984,4,31.942809,-113.020708,10.702500343322754,0,14.744999885559082,0,113.08242797851562,101.6240234375,11.458407402038574
1984,5,31.942809,-113.020708,5.552937984466553,0,0,0,170.0092010498047,161.8612060546875,8.147990226745605
1984,6,31.942809,-113.020708,2.7099244594573975,0,8.8470001220703125,0,172.21409606933594,167.8839569091797,4.330135822296143
1984,7,31.942809,-113.020708,28.722299575805664,10.207056999206543,67.826995849609375,0,189.86544799804687,159.17654418945312,30.688926696777344
1984,8,31.942809,-113.020708,32.914878845214844,76.84034729003906,100.26600646972656,0,173.22035217285156,142.94143676757813,30.278934478759766
1984,9,31.942809,-113.020708,17.785274505615234,0,21.625999450683594,0,142.73883056640625,119.90160369873047,22.837209701538086
1984,10,31.942809,-113.020708,17.129348754882813,0,0.9829999804496765,0,89.53218078613281,74.84479522705078,14.6873779296875
1984,11,31.942809,-113.020708,11.312922477722168,0,9.829999923706055,0,54.4998779296875,48.22709655761719,6.272782802581787
1984,12,31.942809,-113.020708,32.56045913696289,45.27354049682617,75.69100189208984,0,38.94894027709961,30.966257095336914,7.982683181762695
1985,1,31.942809,-113.020708,36.64082336425781,1.5409023761749268,6.88100004196167,0,43.257080078125,34.72066116333008,8.536416053771973
1985,2,31.942809,-113.020708,36.05809783935547,26.39457130432129,37.354000091552734,0,52.419532775878906,41.789085388183594,10.630451202392578
1985,3,31.942809,-113.020708,26.862930297851563,0,0.9829999804496765,0,85.376739501953125,67.759674072265625,17.6170654296875
1985,4,31.942809,-113.020708,11.49203872680664,0,8.8470001220703125,0,126.58795166015625,112.7767333984375,13.811223030090332
1985,5,31.942809,-113.020708,7.224740028381348,0,0,0,156.7580108642578,146.61044311523437,10.147560119628906
1985,6,31.942809,-113.020708,1.7314560413360596,0,0,0,182.80889892578125,180.07241821289062,2.7364888191223145
1985,7,31.942809,-113.020708,2.2699508666992187,0,10.812999725341797,0,197.70765686035156,193.8756103515625,3.8320586681365967
1985,8,31.942809,-113.020708,6.2730393409729,0,18.677000045776367,0,183.24383544921875,172.2976531982422,10.9461669921875
1985,9,31.942809,-113.020708,11.519086837768555,0,16.711000442504883,0,127.60130310058594,112.4150161743164,15.186275482177734
1985,10,31.942809,-113.020708,22.956382751464844,0,23.591999053955078,0,94.9365005493164,78.6270980834961,16.309410095214844
1985,11,31.942809,-113.020708,29.3634090423584,29.63460350036621,53.082000732421875,0,53.8151969909668,43.120147705078125,10.695054054260254
1985,12,31.942809,-113.020708,35.7094841003418,6.8893537521362305,11.795999526977539,0,42.99748229980469,33.987823486328125,9.009651184082031
1986,1,31.942809,-113.020708,27.7032470703125,0,0,0,53.443634033203125,42.89897537231445,10.544663429260254
1986,2,31.942809,-113.020708,31.005428314208984,0.6182115077972412,19.65999984741211,0,59.73228454589844,47.650943756103516,12.08134651184082
1986,3,31.942809,-113.020708,31.80162811279297,10.59598159790039,29.48999786376953,0,97.31578063964844,77.41387176513672,19.901920318603516
1986,4,31.942809,-113.020708,18.428152084350586,0,0,0,120.89008331298828,102.69857788085937,18.19150161743164
1986,5,31.942809,-113.020708,5.554194927215576,0,0,0,154.2726593017578,146.79942321777344,7.473243236541748
1986,6,31.942809,-113.020708,1.3147996664047241,0,0,0,181.2726287841797,179.19862365722656,2.0739870071411133
1986,7,31.942809,-113.020708,7.797195911407471,0,25.557998657226562,0,188.05064392089844,176.29269409179687,11.757938385009766
1986,8,31.942809,-113.020708,8.367188453674316,0,9.829999923706055,0,181.2915496826172,166.9009246826172,14.390628814697266
1986,9,31.942809,-113.020708,5.219061851501465,0,0.9829999804496765,0,130.00259399414062,122.59894561767578,7.4036455154418945
1986,10,31.942809,-113.020708,6.784542560577393,0,8.8470001220703125,0,92.5254898071289,86.44503021240234,6.080440044403076
1986,11,31.942809,-113.020708,5.2388834953308105,0,1.965999960899353,0,58.468910217285156,55.24656677246094,3.2223458290100098
1986,12,31.942809,-113.020708,14.240962982177734,0,16.711000442504883,0,42.33940124511719,35.87958908081055,6.459810733795166
1987,1,31.942809,-113.020708,19.781675338745117,0,9.829999923706055,0,43.48470687866211,35.327362060546875,8.157342910766602
1987,2,31.942809,-113.020708,16.481374740600586,0,28.506999969482422,0,54.43439483642578,46.250892639160156,8.183511734008789
1987,3,31.942809,-113.020708,30.457935333251953,0,3.931999921798706,0,82.2472152709961,65.27537536621094,16.971826553344727
1987,4,31.942809,-113.020708,14.893270492553711,0,0,0,126.03453063964844,109.6572036743164,16.377328872680664
1987,5,31.942809,-113.020708,5.064774036407471,0,1.965999960899353,0,151.2795867919922,144.33544921875,6.94413423538208
1987,6,31.942809,-113.020708,1.3634113073349,0,0,0,179.57264709472656,177.42263793945312,2.1499969959259033
1987,7,31.942809,-113.020708,1.3735121488571167,0,22.608999252319336,0,189.1164093017578,186.96514892578125,2.151272773742676
1987,8,31.942809,-113.020708,13.336652755737305,0,7.863999843597412,0,176.56643676757812,154.4009552001953,22.16547203063965
1987,9,31.942809,-113.020708,7.45674467086792,0,16.71099853515625,0,137.32925415039062,126.95628356933594,10.372964859008789
1987,10,31.942809,-113.020708,8.089726448059082,0,6.880999565124512,0,105.77342987060547,96.93090057373047,8.84252643585205
1987,11,31.942809,-113.020708,17.309654235839844,0,12.779000282287598,0,57.27369689941406,46.93388366699219,10.339807510375977
1987,12,31.942809,-113.020708,23.579971313476563,0.8563210368156433,29.489999771118164,0,38.87809753417969,32.55927658081055,6.318826198577881
1988,1,31.942809,-113.020708,34.922706604003906,3.4571990966796875,10.812999725341797,0,44.715824127197266,35.90264129638672,8.813177108764648
1988,2,31.942809,-113.020708,28.186321258544922,0,0,0,62.88212966918945,50.122371673583984,12.75976848602295
1988,3,31.942809,-113.020708,29.660959243774414,1.1979119777679443,18.677000045776367,0,90.246429443359375,71.80760192871094,18.43882942199707
1988,4,31.942809,-113.020708,14.611858367919922,0,5.8979997634887695,0,116.67681884765625,100.83824157714844,15.838550567626953
1988,5,31.942809,-113.020708,5.998172283172607,0,0,0,151.90740966796875,144.0242919921875,7.883111953735352
1988,6,31.942809,-113.020708,1.470665454864502,0,0,0,177.74298095703125,175.49542236328125,2.247546672821045
1988,7,31.942809,-113.020708,5.627691745758057,0,29.489999771118164,0,195.9186553955078,186.8406524658203,9.077997207641602
1988,8,31.942809,-113.020708,22.089481353759766,50.37245178222656,91.41900634765625,0,180.53399658203125,155.03814697265625,25.495800018310547
1988,9,31.942809,-113.020708,23.961336135864258,0,1.965999960899353,0,137.53842163085937,112.10470581054687,25.4337215423584
1988,10,31.942809,-113.020708,24.91982078552246,19.83715057373047,54.064998626708984,0,105.17449188232422,89.73535919189453,15.439126014709473
1988,11,31.942809,-113.020708,25.23997688293457,0,0,0,58.06145477294922,46.48835754394531,11.573080062866211
1988,12,31.942809,-113.020708,15.970170974731445,0,0,0,40.23421859741211,33.01885986328125,7.215366840362549
1989,1,31.942809,-113.020708,29.72871971130371,8.164246559143066,40.303001403808594,0,42.400428771972656,34.25614929199219,8.144279479980469
1989,2,31.942809,-113.020708,31.864084243774414,0,0,0,56.89409255981445,45.376888275146484,11.51719856262207
1989,3,31.942809,-113.020708,17.951425552368164,0,7.863999843597412,0,96.53025817871094,78.938323974609375,17.591938018798828
1989,4,31.942809,-113.020708,8.919031143188477,0,0,0,132.14031982421875,120.9228515625,11.217474937438965
1989,5,31.942809,-113.020708,2.4688010215759277,0,0,0,156.24288940429687,152.78030395507812,3.462582588195801
1989,6,31.942809,-113.020708,0.6099156141281128,0,0,0,177.59730529785156,176.6703643798828,0.926944375038147
1989,7,31.942809,-113.020708,3.6651723384857178,0,27.524002075195312,0,200.32962036132812,195.0201416015625,5.309464454650879
1989,8,31.942809,-113.020708,14.64414119720459,0,8.8470001220703125,0,177.2252960205078,153.1943359375,24.03097915649414
1989,9,31.942809,-113.020708,3.6198604106903076,0,0,0,142.87673950195312,137.27613830566406,5.600592613220215
1989,10,31.942809,-113.020708,5.037514686584473,0,9.829999923706055,0,98.62938690185547,93.93843078613281,4.690978527069092
1989,11,31.942809,-113.020708,4.929806232452393,0,0,0,60.618988037109375,57.42459487915039,3.194392204284668
1989,12,31.942809,-113.020708,3.813345193862915,0,8.8470001220703125,0,44.11003112792969,42.28201675415039,1.8280203342437744
1990,1,31.942809,-113.020708,26.98839569091797,0.09376359730958939,32.43899917602539,0,44.30415725708008,35.78742599487305,8.516732215881348
1990,2,31.942809,-113.020708,32.46514129638672,0,4.914999961853027,0,51.33226776123047,40.917991638183594,10.414274215698242
1990,3,31.942809,-113.020708,20.243587493896484,0,3.931999921798706,0,90.88306427001953,73.81385040283203,17.069217681884766
1990,4,31.942809,-113.020708,10.109098434448242,0,0.9829999804496765,0,121.7287826538086,110.35391998291016,11.374894142150879
1990,5,31.942809,-113.020708,3.065690755844116,0,0.9829999804496765,0,151.28692626953125,147.17901611328125,4.107949733734131
1990,6,31.942809,-113.020708,1.1630418300628662,0,0,0,183.874755859375,182.0252227783203,1.849549651145935
1990,7,31.942809,-113.020708,25.815420150756836,41.68132781982422,88.470001220703125,0,193.62960815429687,167.91627502441406,25.713293075561523
1990,8,31.942809,-113.020708,28.19563865661621,27.01580047607422,59.96300506591797,0,173.94821166992187,143.82984924316406,30.118385314941406
1990,9,31.942809,-113.020708,26.36945152282715,4.481138229370117,32.439002990722656,0,139.51942443847656,112.73916625976562,26.780242919921875
1990,10,31.942809,-113.020708,23.43317222595215,0,7.863999843597412,0,99.1171875,80.96098327636719,18.156208038330078
1990,11,31.942809,-113.020708,14.053589820861816,0,8.8470001220703125,0,59.38853073120117,50.739566802978516,8.648970603942871
