date,lat,lon,soil_water_daily,runoff_daily,rain_daily,agdd_daily,accumswe_daily,pet_daily,deficit_daily,aet_daily
1984-09-28T12:00:00Z,31.942809,-113.020708,27.283761978149414,0,0,4393,0,4.026425361633301,3.271470546722412,0.7549547553062439
1984-09-29T12:00:00Z,31.942809,-113.020708,26.528207778930664,0,0,4410.25,0,4.029620170593262,3.27406644821167,0.7555537819862366
1984-09-30T12:00:00Z,31.942809,-113.020708,25.77214813232422,0,0,17.5,0,4.032317638397217,3.2762579917907715,0.7560595273971558
1984-10-01T12:00:00Z,31.942809,-113.020708,25.07341957092285,0,0,32.75,0,3.7265501022338867,3.0278220176696777,0.6987281441688538
1984-10-02T12:00:00Z,31.942809,-113.020708,24.425554275512695,0,0,46,0,3.4552881717681885,2.8074216842651367,0.6478665471076965
1984-10-03T12:00:00Z,31.942809,-113.020708,23.788047790527344,0,0,59,0,3.4000301361083984,2.7625246047973633,0.6375056505203247
1984-10-04T12:00:00Z,31.942809,-113.020708,23.16082191467285,0,0,71.75,0,3.3452022075653076,2.7179768085479736,0.627225399017334
1984-10-05T12:00:00Z,31.942809,-113.020708,22.526968002319336,0,0,85,0,3.380563974380493,2.7467081546783447,0.6338557600975037
1984-10-06T12:00:00Z,31.942809,-113.020708,21.88664436340332,0,0,98.75,0,3.415052652359009,2.7747302055358887,0.6403223872184753
1984-10-07T12:00:00Z,31.942809,-113.020708,21.22343635559082,0,0,113.75,0,3.537107467651367,2.8738999366760254,0.6632076501846313
1984-10-08T12:00:00Z,31.942809,-113.020708,20.56517791748047,0,0,128.75,0,3.5107131004333496,2.852454423904419,0.6582586765289307
1984-10-09T12:00:00Z,31.942809,-113.020708,19.911861419677734,0,0,143.75,0,3.4843602180480957,2.831042766571045,0.6533175706863403
1984-10-10T12:00:00Z,31.942809,-113.020708,19.258071899414062,0,0,159,0,3.486877918243408,2.8330883979797363,0.6537896394729614
1984-10-11T12:00:00Z,31.942809,-113.020708,18.637670516967773,0,0,173,0,3.317431926727295,2.697031259536743,0.6204007267951965
1984-10-12T12:00:00Z,31.942809,-113.020708,18.03669548034668,0,0,187.25,0,3.3205244541168213,2.719550371170044,0.6009742021560669
1984-10-13T12:00:00Z,31.942809,-113.020708,17.47435188293457,0,0,200.75,0,3.21061372756958,2.6482691764831543,0.5623446702957153
1984-10-14T12:00:00Z,31.942809,-113.020708,16.947954177856445,0,0,213.5,0,3.102097272872925,2.5756995677948,0.526397705078125
1984-10-15T12:00:00Z,31.942809,-113.020708,16.43222427368164,0,0,226.75,0,3.1336326599121094,2.6179020404815674,0.5157305598258972
1984-10-16T12:00:00Z,31.942809,-113.020708,15.993136405944824,0,0,236.75,0,2.751671075820923,2.312584400177002,0.43908676505088806
1984-10-17T12:00:00Z,31.942809,-113.020708,15.5775785446167,0,0,246.25,0,2.675718307495117,2.260160446166992,0.4155578911304474
1984-10-18T12:00:00Z,31.942809,-113.020708,15.180063247680664,0,0,255.5,0,2.627824544906616,2.230309247970581,0.39751526713371277
1984-10-19T12:00:00Z,31.942809,-113.020708,14.859107971191406,0,0,260.75,0,2.1772778034210205,1.856322169303894,0.3209555745124817
1984-10-20T12:00:00Z,31.942809,-113.020708,14.5204496383667,0,0,267.75,0,2.3469908237457275,2.0083324909210205,0.33865824341773987
1984-10-21T12:00:00Z,31.942809,-113.020708,14.188362121582031,0,0,275,0,2.3551340103149414,2.0230460166931152,0.33208799362182617
1984-10-22T12:00:00Z,31.942809,-113.020708,13.859167098999023,0,0,282.75,0,2.389256477355957,2.0600619316101074,0.32919445633888245
1984-10-23T12:00:00Z,31.942809,-113.020708,13.540121078491211,0,0,290.5,0,2.3706040382385254,2.051557779312134,0.3190462589263916
1984-10-24T12:00:00Z,31.942809,-113.020708,13.230851173400879,0,0,298.25,0,2.352109432220459,2.042839527130127,0.30926984548568726
1984-10-25T12:00:00Z,31.942809,-113.020708,13.891722679138184,0,0.9829999804496765,306,0,2.333780527114868,2.0116519927978516,0.3221285939216614
1984-10-26T12:00:00Z,31.942809,-113.020708,13.569045066833496,0,0,314.5,0,2.3919646739959717,2.0692875385284424,0.32267725467681885
1984-10-27T12:00:00Z,31.942809,-113.020708,13.249655723571777,0,0,323.5,0,2.4238967895507813,2.1045072078704834,0.3193897008895874
1984-10-28T12:00:00Z,31.942809,-113.020708,12.949868202209473,0,0,331.75,0,2.3299756050109863,2.0301880836486816,0.2997874617576599
1984-10-29T12:00:00Z,31.942809,-113.020708,12.643492698669434,0,0,341.25,0,2.4363045692443848,2.1299288272857666,0.30637577176094055
1984-10-30T12:00:00Z,31.942809,-113.020708,12.340605735778809,0,0,351.25,0,2.466925859451294,2.164038896560669,0.3028870224952698
1984-10-31T12:00:00Z,31.942809,-113.020708,12.067770957946777,0,0,359.5,0,2.276695728302002,2.003861427307129,0.27283430099487305
1984-11-01T12:00:00Z,31.942809,-113.020708,11.805845260620117,0,0,367.5,0,2.235081672668457,1.9731560945510864,0.261925607919693
1984-11-02T12:00:00Z,31.942809,-113.020708,11.535168647766113,0,0,376.75,0,2.3387320041656494,2.0680549144744873,0.2706771790981293
1984-11-03T12:00:00Z,31.942809,-113.020708,11.270207405090332,0,0,386,0,2.3211610317230225,2.0562005043029785,0.26496049761772156
1984-11-04T12:00:00Z,31.942809,-113.020708,11.00818920135498,0,0,395.5,0,2.327599287033081,2.0655806064605713,0.2620185613632202
1984-11-05T12:00:00Z,31.942809,-113.020708,10.741338729858398,0,0,406,0,2.404677629470825,2.1378273963928223,0.26685014367103577
1984-11-06T12:00:00Z,31.942809,-113.020708,10.485610961914062,0,0,416,0,2.3402345180511475,2.0845062732696533,0.25572824478149414
1984-11-07T12:00:00Z,31.942809,-113.020708,10.25053596496582,0,0,424.5,0,2.183838129043579,1.9487637281417847,0.23507438600063324
1984-11-08T12:00:00Z,31.942809,-113.020708,10.027676582336426,0,0,432.25,0,2.098938226699829,1.8760780096054077,0.2228601574897766
1984-11-09T12:00:00Z,31.942809,-113.020708,9.830241203308105,0,0,438,0,1.900801658630371,1.703366994857788,0.19743460416793823
1984-11-10T12:00:00Z,31.942809,-113.020708,9.626476287841797,0,0,445,0,2.001147747039795,1.7973828315734863,0.20376497507095337
1984-11-11T12:00:00Z,31.942809,-113.020708,9.417060852050781,0,0,453.25,0,2.1001789569854736,1.8907629251480103,0.209416002035141
1984-11-12T12:00:00Z,31.942809,-113.020708,9.220165252685547,0,0,460.75,0,2.018526792526245,1.8216311931610107,0.19689562916755676
1984-11-13T12:00:00Z,31.942809,-113.020708,9.018048286437988,0,0,469.5,0,2.116304874420166,1.9141877889633179,0.20211713016033173
1984-11-14T12:00:00Z,31.942809,-113.020708,8.832008361816406,0,0,477,0,1.9916179180145264,1.805578589439392,0.18603932857513428
