date,lat,lon,soil_water_daily,runoff_daily,rain_daily,agdd_daily,accumswe_daily,pet_daily,deficit_daily,aet_daily
1980-04-29T12:00:00Z,44.702,-110.018,89.04999542236328,8.370314598083496,0,0,299.0617370605469,0,0,0
1980-04-30T12:00:00Z,44.702,-110.018,89.04999542236328,20.370315551757813,0,0,278.6914367675781,0,0,0
1980-05-01T12:00:00Z,44.702,-110.018,89.04999542236328,0,0,0,278.6914367675781,0,0,0
1980-05-02T12:00:00Z,44.702,-110.018,89.04999542236328,1.3703148365020752,0,0,277.3211364746094,0,0,0
1980-05-03T12:00:00Z,44.702,-110.018,89.04999542236328,7.370314598083496,0,0,269.9508056640625,0,0,0
1980-05-04T12:00:00Z,44.702,-110.018,89.04999542236328,13.370314598083496,0,0,256.58050537109375,0,0,0
1980-05-05T12:00:00Z,44.702,-110.018,89.04999542236328,10.370314598083496,0,0,246.21017456054687,0,0,0
1980-05-06T12:00:00Z,44.702,-110.018,89.04999542236328,16.370315551757813,0,0,229.83985900878906,0,0,0
1980-05-07T12:00:00Z,44.702,-110.018,89.04999542236328,21.370315551757813,0,0,208.46954345703125,0,0,0
1980-05-08T12:00:00Z,44.702,-110.018,89.04999542236328,21.792285919189453,1.6720000505447388,0,188.34925842285156,0,0,0
1980-05-09T12:00:00Z,44.702,-110.018,89.04999542236328,23.21425437927246,3.3440001010894775,0,168.47900390625,0,0,0
1980-05-10T12:00:00Z,44.702,-110.018,89.04999542236328,11.09422492980957,1.6720000505447388,0,159.05677795410156,0,0,0
1980-05-11T12:00:00Z,44.702,-110.018,89.04999542236328,0,0,0,159.05677795410156,0,0,0
1980-05-12T12:00:00Z,44.702,-110.018,89.04999542236328,0,0,0,159.05677795410156,0,0,0
1980-05-13T12:00:00Z,44.702,-110.018,89.04999542236328,0,0,0,159.05677795410156,0,0,0
1980-05-14T12:00:00Z,44.702,-110.018,89.04999542236328,1.3703148365020752,0,0,157.68646240234375,0,0,0
1980-05-15T12:00:00Z,44.702,-110.018,89.04999542236328,4.370314598083496,0,0,153.31614685058594,0,0,0
1980-05-16T12:00:00Z,44.702,-110.018,89.04999542236328,9.370314598083496,0,0,143.94583129882812,0,0,0
1980-05-17T12:00:00Z,44.702,-110.018,89.04999542236328,7.370314598083496,0,0,136.57553100585938,0,0,0
1980-05-18T12:00:00Z,44.702,-110.018,89.04999542236328,25.099756240844727,4.180000305175781,0,115.65576934814453,0,0,0
1980-05-19T12:00:00Z,44.702,-110.018,89.04999542236328,22.85856819152832,5.8520002365112305,0,98.649200439453125,0,0,0
1980-05-20T12:00:00Z,44.702,-110.018,89.04999542236328,25.370315551757812,0,0,73.27888488769531,0,0,0
1980-05-21T12:00:00Z,44.702,-110.018,89.04999542236328,34.37031555175781,0,0,38.9085693359375,0,0,0
1980-05-22T12:00:00Z,44.702,-110.018,89.027099609375,38.9085693359375,0,1.5,0,2.5645153522491455,2.5416178703308105,0.02289745770394802
1980-05-23T12:00:00Z,44.702,-110.018,89.022857666015625,15.861103057861328,15.884000778198242,2.75,0,2.5327577590942383,2.5056209564208984,0.02713668905198574
1980-05-24T12:00:00Z,44.702,-110.018,89.04999542236328,3.1593451499938965,3.1864819526672363,2.75,11.025519371032715,0,0,0
