year,month,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,agdd_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1987,11,44.702,-110.018,41.0206413269043,0,0,0,14.212000846862793,0.9817837476730347,0.978236973285675,0.0035467646084725857
1987,12,44.702,-110.018,41.02022171020508,0,0,0,86.944000244140625,0,0,0
1988,1,44.702,-110.018,41.02022171020508,0,0,0,152.15200805664062,0,0,0
1988,2,44.702,-110.018,41.419944763183594,0,0,0,210.27537536621094,0,0,0
1988,3,44.702,-110.018,46.51946258544922,0,0,0,244.82675170898437,0,0,0
1988,4,44.702,-110.018,69.43001556396484,0,2.2312204837799072,0,316.93194580078125,0,0,0
1988,5,44.702,-110.018,88.89979553222656,193.31243896484375,8.3600006103515625,0,219.29380798339844,0,0,0
1988,6,44.702,-110.018,86.9065170288086,219.2938232421875,0,21.25,0,50.43140411376953,41.876529693603516,8.55487060546875
1988,7,44.702,-110.018,56.104591369628906,0,0,87.5,0,80.52558135986328,27.67375946044922,52.85184097290039
1988,8,44.702,-110.018,15.800500869750977,0,0,102,0,61.47888946533203,42.82859420776367,18.650304794311523
1988,9,44.702,-110.018,8.405906677246094,0,1.0289844274520874,0,0,25.39946174621582,22.658832550048828,2.7406325340270996
1988,10,44.702,-110.018,15.813182830810547,0,8.424461364746094,0,0,16.79852294921875,16.10947608947754,0.6890506148338318
1988,11,44.702,-110.018,23.119304656982422,0,0,0,153.82400512695312,0.4246935546398163,0.4246935546398163,0
1988,12,44.702,-110.018,23.119304656982422,0,0,0,175.5600128173828,0,0,0
1989,1,44.702,-110.018,23.119306564331055,0,0,0,251.63601684570312,0,0,0
1989,2,44.702,-110.018,23.119304656982422,0,0,0,334.4000244140625,0,0,0
1989,3,44.702,-110.018,51.3189697265625,0,6.29986572265625,0,450.5135192871094,0,0,0
1989,4,44.702,-110.018,83.49837493896484,142.632568359375,18.393192291259766,0,348.2127685546875,0,0,0
1989,5,44.702,-110.018,89.0500259399414,328.74395751953125,47.65060806274414,0,111.42874908447266,0,0,0
1989,6,44.702,-110.018,88.5838623046875,135.1551513671875,15.932723999023438,2.5,0,39.16648864746094,33.93665313720703,5.229841232299805
1989,7,44.702,-110.018,65.70000457763672,0,8.3600006103515625,93,0,85.743377685546875,28.197677612304687,57.545692443847656
1989,8,44.702,-110.018,33.88486099243164,0,31.960987091064453,113.75,0,56.892486572265625,21.33414077758789,35.558349609375
1989,9,44.702,-110.018,32.24979019165039,0,4.0531487464904785,113.75,0,30.614574432373047,18.505455017089844,12.109118461608887
1989,10,44.702,-110.018,55.380489349365234,0,2.783970355987549,0,24.244001388549805,7.6987833976745605,6.635469913482666,1.0633125305175781
1989,11,44.702,-110.018,63.90816879272461,0,0,0,106.14569091796875,0,0,0
1989,12,44.702,-110.018,65.03160858154297,0,1.4210854715202004e-14,0,177.2056884765625,0,0,0
1990,1,44.702,-110.018,65.03160858154297,0,0,0,250.77369689941406,0,0,0
1990,2,44.702,-110.018,65.03160858154297,0,0,0,282.54168701171875,0,0,0
1990,3,44.702,-110.018,67.03032684326172,0,0,0,307.0347595214844,0,0,0
1990,4,44.702,-110.018,88.832122802734375,146.48028564453125,26.8695011138916,0,239.95101928710937,0,0,0
1990,5,44.702,-110.018,89.0500259399414,224.9855499267578,32.604000091552734,0,109.4334716796875,0,0,0
1990,6,44.702,-110.018,87.84837341308594,148.57830810546875,28.21112060546875,18,0,36.30003356933594,29.510900497436523,6.789135456085205
1990,7,44.702,-110.018,71.6598129272461,0,35.02490234375,56,0,71.5671157836914,24.583457946777344,46.98366165161133
1990,8,44.702,-110.018,61.5394172668457,0,40.12800216674805,91.25,0,64.926666259765625,12.609821319580078,52.31684112548828
1990,9,44.702,-110.018,47.194339752197266,0,8.027074813842773,105.75,0,43.289756774902344,18.623218536376953,24.66653823852539
1990,10,44.702,-110.018,56.45091247558594,42.49474334716797,6.044655799865723,0,0,2.8870692253112793,2.099806785583496,0.7872624397277832
1990,11,44.702,-110.018,89.04902648925781,18.478256225585937,0,0,59.26674270629883,0,0,0
1990,12,44.702,-110.018,89.0500259399414,0,0,0,113.60674285888672,0,0,0
1991,1,44.702,-110.018,89.0500259399414,1.4210854715202004e-14,1.4210854715202004e-14,0,160.42274475097656,0,0,0
1991,2,44.702,-110.018,89.0500259399414,0,0,0,193.02674865722656,0,0,0
1991,3,44.702,-110.018,89.0500259399414,0,0,0,294.1827392578125,0,0,0
1991,4,44.702,-110.018,89.0500259399414,45.59220504760742,0,0,338.8785400390625,0,0,0
1991,5,44.702,-110.018,89.0500259399414,387.0508728027344,84.22762298583984,0,77.22764587402344,0,0,0
1991,6,44.702,-110.018,87.90449523925781,95.976470947265625,23.675640106201172,0.25,1.3231346607208252,48.8881721496582,43.8801155090332,5.008049011230469
1991,7,44.702,-110.018,73.138275146484375,2.9991722106933594,18.392000198364258,56,0,79.334747314453125,24.982284545898438,54.352455139160156
1991,8,44.702,-110.018,35.09471130371094,0,14.212000846862793,114.5,0,70.2166976928711,25.820363998413086,44.396331787109375
1991,9,44.702,-110.018,37.89181137084961,0,23.409177780151367,121,0,29.244470596313477,18.046630859375,11.197834968566895
1991,10,44.702,-110.018,43.016807556152344,0,0,0,59.35600280761719,12.996438026428223,10.22115421295166,2.775282621383667
1991,11,44.702,-110.018,42.368045806884766,0,0,0,170.54400634765625,0,0,0
1991,12,44.702,-110.018,42.368045806884766,0,0,0,216.5240020751953,0,0,0
1992,1,44.702,-110.018,42.368045806884766,0,0,0,232.4080047607422,0,0,0
1992,2,44.702,-110.018,42.368045806884766,0,0,0,270.02801513671875,0,0,0
1992,3,44.702,-110.018,46.112266540527344,0,0,0,286.6267395019531,0,0,0
1992,4,44.702,-110.018,86.9373550415039,231.33432006835937,3.13681697845459,0,111.55974578857422,0,0,0
1992,5,44.702,-110.018,89.04133605957031,181.6461639404297,49.332759857177734,0,0,25.751667022705078,25.60166358947754,0.15000662207603455
1992,6,44.702,-110.018,88.5587387084961,116.64815521240234,78.97007751464844,8,4.580531120300293,49.880165100097656,43.213253021240234,6.66691255569458
1992,7,44.702,-110.018,83.41312408447266,47.09295654296875,59.75252914428711,19.25,0,55.18367004394531,14.41912841796875,40.76454162597656
1992,8,44.702,-110.018,40.44807052612305,0,6.688000202178955,71.75,0,63.56652069091797,18.450836181640625,45.11567687988281
1992,9,44.702,-110.018,59.28408432006836,0,11.975034713745117,0,0,24.20918846130371,13.023222923278809,11.185962677001953
1992,10,44.702,-110.018,85.087188720703125,11.108760833740234,7.436028003692627,0,7.332687854766846,11.830177307128906,10.035383224487305,1.7947934865951538
1992,11,44.702,-110.018,88.91114044189453,0,0,0,61.672691345214844,0,0,0
1992,12,44.702,-110.018,88.91114044189453,0,0,0,163.66468811035156,0,0,0
1993,1,44.702,-110.018,88.91114044189453,0,0,0,217.168701171875,0,0,0
1993,2,44.702,-110.018,88.91114044189453,0,0,0,266.4927062988281,0,0,0
1993,3,44.702,-110.018,88.95146179199219,38.36683654785156,1.6720000505447388,0,279.81903076171875,0,0,0
1993,4,44.702,-110.018,89.0500259399414,4.123254299163818,1.7529395818710327,0,398.5877685546875,0,0,0
1993,5,44.702,-110.018,89.02997589111328,468.8117370605469,50.698341369628906,0,0,12.515861511230469,12.359413146972656,0.15644825994968414
1993,6,44.702,-110.018,88.4414291381836,66.50554656982422,35.81863784790039,2.25,0,33.25696563720703,28.213525772094727,5.043437480926514
1993,7,44.702,-110.018,84.25411224365234,64.82560729980469,64.58051300048828,11.5,0,38.98434066772461,10.54896354675293,28.435380935668945
